playerId,season,name,team,position,situation,games_played,icetime,shifts,gameScore,onIce_xGoalsPercentage,offIce_xGoalsPercentage,onIce_corsiPercentage,offIce_corsiPercentage,onIce_fenwickPercentage,offIce_fenwickPercentage,iceTimeRank,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_xFreeze,I_F_xPlayStopped,I_F_xPlayContinuedInZone,I_F_xPlayContinuedOutsideZone,I_F_flurryAdjustedxGoals,I_F_scoreVenueAdjustedxGoals,I_F_flurryScoreVenueAdjustedxGoals,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotsOnGoal,I_F_missedShots,I_F_blockedShotAttempts,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_reboundGoals,I_F_freeze,I_F_playStopped,I_F_playContinuedInZone,I_F_playContinuedOutsideZone,I_F_savedShotsOnGoal,I_F_savedUnblockedShotAttempts,penalties,I_F_penalityMinutes,I_F_faceOffsWon,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_scoreAdjustedShotsAttempts,I_F_unblockedShotAttempts,I_F_scoreAdjustedUnblockedShotAttempts,I_F_dZoneGiveaways,I_F_xGoalsFromxReboundsOfShots,I_F_xGoalsFromActualReboundsOfShots,I_F_reboundxGoals,I_F_xGoals_with_earned_rebounds,I_F_xGoals_with_earned_rebounds_scoreAdjusted,I_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,I_F_shifts,I_F_oZoneShiftStarts,I_F_dZoneShiftStarts,I_F_neutralZoneShiftStarts,I_F_flyShiftStarts,I_F_oZoneShiftEnds,I_F_dZoneShiftEnds,I_F_neutralZoneShiftEnds,I_F_flyShiftEnds,faceoffsWon,faceoffsLost,timeOnBench,penalityMinutes,penalityMinutesDrawn,penaltiesDrawn,shotsBlockedByPlayer,OnIce_F_xOnGoal,OnIce_F_xGoals,OnIce_F_flurryAdjustedxGoals,OnIce_F_scoreVenueAdjustedxGoals,OnIce_F_flurryScoreVenueAdjustedxGoals,OnIce_F_shotsOnGoal,OnIce_F_missedShots,OnIce_F_blockedShotAttempts,OnIce_F_shotAttempts,OnIce_F_goals,OnIce_F_rebounds,OnIce_F_reboundGoals,OnIce_F_lowDangerShots,OnIce_F_mediumDangerShots,OnIce_F_highDangerShots,OnIce_F_lowDangerxGoals,OnIce_F_mediumDangerxGoals,OnIce_F_highDangerxGoals,OnIce_F_lowDangerGoals,OnIce_F_mediumDangerGoals,OnIce_F_highDangerGoals,OnIce_F_scoreAdjustedShotsAttempts,OnIce_F_unblockedShotAttempts,OnIce_F_scoreAdjustedUnblockedShotAttempts,OnIce_F_xGoalsFromxReboundsOfShots,OnIce_F_xGoalsFromActualReboundsOfShots,OnIce_F_reboundxGoals,OnIce_F_xGoals_with_earned_rebounds,OnIce_F_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OnIce_A_xOnGoal,OnIce_A_xGoals,OnIce_A_flurryAdjustedxGoals,OnIce_A_scoreVenueAdjustedxGoals,OnIce_A_flurryScoreVenueAdjustedxGoals,OnIce_A_shotsOnGoal,OnIce_A_missedShots,OnIce_A_blockedShotAttempts,OnIce_A_shotAttempts,OnIce_A_goals,OnIce_A_rebounds,OnIce_A_reboundGoals,OnIce_A_lowDangerShots,OnIce_A_mediumDangerShots,OnIce_A_highDangerShots,OnIce_A_lowDangerxGoals,OnIce_A_mediumDangerxGoals,OnIce_A_highDangerxGoals,OnIce_A_lowDangerGoals,OnIce_A_mediumDangerGoals,OnIce_A_highDangerGoals,OnIce_A_scoreAdjustedShotsAttempts,OnIce_A_unblockedShotAttempts,OnIce_A_scoreAdjustedUnblockedShotAttempts,OnIce_A_xGoalsFromxReboundsOfShots,OnIce_A_xGoalsFromActualReboundsOfShots,OnIce_A_reboundxGoals,OnIce_A_xGoals_with_earned_rebounds,OnIce_A_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_A_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OffIce_F_xGoals,OffIce_A_xGoals,OffIce_F_shotAttempts,OffIce_A_shotAttempts,xGoalsForAfterShifts,xGoalsAgainstAfterShifts,corsiForAfterShifts,corsiAgainstAfterShifts,fenwickForAfterShifts,fenwickAgainstAfterShifts
8478042,2025,Viktor Arvidsson,BOS,L,other,4,278.0,9.0,2.28,0.46,0.38,0.47,0.28,0.47,0.33,9.0,0.74,0.47,0.01,0.02,0.03,0.2,0.28,0.47,0.47,0.47,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.47,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.47,0.47,0.47,9.0,1.0,2.0,1.0,5.0,2.0,0.0,3.0,4.0,0.0,0.0,417.0,0.0,2.0,1.0,0.0,4.91,1.7,1.69,1.7,1.69,1.0,6.0,2.0,9.0,1.0,0.0,0.0,4.0,0.0,3.0,0.15,0.0,1.54,0.0,0.0,1.0,9.0,7.0,7.0,0.09,0.0,0.0,1.79,1.79,1.78,6.06,2.0,1.97,2.0,1.97,6.0,2.0,2.0,10.0,2.0,1.0,0.0,4.0,2.0,2.0,0.15,0.27,1.58,0.0,0.0,2.0,10.0,8.0,8.0,0.12,0.17,0.17,1.95,1.95,1.94,1.02,1.65,8.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0
8478042,2025,Viktor Arvidsson,BOS,L,all,4,2723.0,68.0,1.98,0.52,0.4,0.49,0.41,0.5,0.4,33.0,11.93,1.38,0.69,3.05,0.53,6.08,4.26,1.35,1.42,1.39,0.0,0.0,11.0,5.0,1.0,17.0,2.0,2.0,0.0,0.0,1.0,1.0,6.0,6.0,9.0,14.0,0.0,0.0,0.0,1.0,1.0,2.0,11.0,4.0,1.0,0.32,0.59,0.47,2.0,0.0,0.0,17.44,16.0,16.36,1.0,0.16,0.0,0.26,1.27,1.31,1.27,68.0,7.0,12.0,9.0,40.0,10.0,10.0,8.0,40.0,0.0,0.0,11677.0,0.0,2.0,2.0,3.0,29.39,3.67,3.6,3.72,3.66,23.0,17.0,13.0,53.0,3.0,2.0,0.0,27.0,9.0,4.0,0.83,1.08,1.76,2.0,0.0,1.0,54.02,40.0,40.73,0.42,0.26,0.26,3.83,3.88,3.81,29.46,3.39,3.35,3.39,3.35,29.0,11.0,15.0,55.0,6.0,1.0,0.0,33.0,5.0,2.0,1.15,0.67,1.58,3.0,1.0,2.0,54.19,40.0,39.83,0.43,0.17,0.17,3.66,3.66,3.62,7.58,11.54,155.0,224.0,0.0,0.0,0.0,0.0,0.0,0.0
8478042,2025,Viktor Arvidsson,BOS,L,5on5,4,1994.0,50.0,1.98,0.55,0.42,0.43,0.45,0.46,0.43,33.0,9.93,0.81,0.57,2.76,0.45,4.85,3.55,0.8,0.85,0.84,0.0,0.0,10.0,3.0,1.0,14.0,2.0,2.0,0.0,0.0,1.0,1.0,5.0,4.0,8.0,11.0,0.0,0.0,0.0,1.0,1.0,2.0,10.0,3.0,0.0,0.32,0.5,0.0,2.0,0.0,0.0,14.44,13.0,13.36,1.0,0.12,0.0,0.26,0.67,0.71,0.69,50.0,4.0,10.0,8.0,28.0,6.0,8.0,5.0,31.0,0.0,0.0,8358.0,0.0,0.0,1.0,3.0,18.73,1.4,1.39,1.46,1.44,17.0,8.0,7.0,32.0,2.0,2.0,0.0,20.0,4.0,1.0,0.59,0.59,0.22,2.0,0.0,0.0,33.02,25.0,25.73,0.23,0.26,0.26,1.36,1.42,1.4,21.0,1.17,1.15,1.16,1.14,21.0,8.0,13.0,42.0,4.0,0.0,0.0,27.0,2.0,0.0,0.94,0.23,0.0,3.0,1.0,0.0,41.19,29.0,28.83,0.29,0.0,0.0,1.45,1.45,1.42,4.56,6.17,115.0,141.0,0.0,0.0,0.0,0.0,0.0,0.0
8478042,2025,Viktor Arvidsson,BOS,L,4on5,4,3.0,1.0,-0.45,0.0,0.08,0.0,0.17,0.0,0.2,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,454.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.81,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
8478042,2025,Viktor Arvidsson,BOS,L,5on4,4,448.0,8.0,2.28,0.71,0.89,0.8,0.8,0.73,0.79,16.0,1.26,0.1,0.11,0.28,0.06,1.03,0.43,0.08,0.1,0.08,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.01,0.09,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.03,0.0,0.0,0.13,0.13,0.1,8.0,2.0,0.0,0.0,6.0,2.0,2.0,0.0,4.0,0.0,0.0,684.0,0.0,0.0,0.0,0.0,5.75,0.57,0.52,0.57,0.52,5.0,3.0,4.0,12.0,0.0,0.0,0.0,3.0,5.0,0.0,0.08,0.49,0.0,0.0,0.0,0.0,12.0,8.0,8.0,0.1,0.0,0.0,0.68,0.68,0.62,2.4,0.23,0.23,0.23,0.23,2.0,1.0,0.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,0.06,0.17,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.03,0.0,0.0,0.26,0.26,0.26,1.27,0.16,16.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8479378,2025,Logan Stanley,BUF,D,other,8,94.0,2.0,-0.35,0.38,0.36,0.3,0.6,0.29,0.5,20.0,0.65,0.02,0.04,0.17,0.02,0.38,0.37,0.02,0.02,0.02,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.01,0.0,0.0,0.03,0.03,0.03,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,973.0,0.0,0.0,0.0,1.0,1.45,0.13,0.13,0.13,0.13,2.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.02,0.1,0.0,0.0,0.0,0.0,3.0,2.0,2.0,0.03,0.0,0.0,0.15,0.15,0.15,3.5,0.21,0.21,0.21,0.21,3.0,2.0,2.0,7.0,0.0,0.0,0.0,5.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,7.0,5.0,5.0,0.07,0.0,0.0,0.28,0.28,0.28,2.24,4.02,31.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0
8479378,2025,Logan Stanley,BUF,D,all,8,6269.0,136.0,0.85,0.41,0.53,0.45,0.56,0.46,0.55,47.0,7.92,0.25,0.45,2.42,0.31,4.75,3.83,0.25,0.25,0.25,0.0,0.0,6.0,6.0,7.0,19.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,4.0,6.0,12.0,3.0,9.0,0.0,10.0,2.0,2.0,12.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,19.23,12.0,12.2,1.0,0.09,0.0,0.0,0.34,0.34,0.34,136.0,7.0,9.0,24.0,96.0,23.0,23.0,16.0,74.0,0.0,0.0,23085.0,9.0,9.0,3.0,10.0,47.62,2.86,2.82,2.89,2.85,33.0,33.0,28.0,94.0,1.0,7.0,0.0,57.0,9.0,0.0,1.7,1.16,0.0,0.0,1.0,0.0,95.45,66.0,66.5,0.64,0.48,0.45,3.04,3.07,3.02,54.81,4.06,3.93,4.1,3.96,47.0,29.0,37.0,113.0,3.0,6.0,0.0,61.0,12.0,3.0,1.69,1.63,0.73,2.0,1.0,0.0,112.37,76.0,76.4,0.86,0.83,0.83,4.08,4.08,4.01,23.73,20.75,431.0,336.0,0.0,0.0,0.0,0.0,0.0,0.0
8479378,2025,Logan Stanley,BUF,D,5on5,8,5305.0,114.0,0.85,0.45,0.54,0.51,0.55,0.52,0.54,47.0,7.28,0.23,0.41,2.25,0.29,4.37,3.46,0.23,0.23,0.23,0.0,0.0,5.0,6.0,7.0,18.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,3.0,5.0,11.0,3.0,9.0,0.0,6.0,2.0,2.0,11.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,18.23,11.0,11.2,1.0,0.08,0.0,0.0,0.31,0.31,0.31,114.0,6.0,8.0,23.0,77.0,21.0,17.0,13.0,63.0,0.0,0.0,16215.0,9.0,7.0,2.0,6.0,43.94,2.67,2.63,2.7,2.66,29.0,32.0,27.0,88.0,1.0,7.0,0.0,53.0,8.0,0.0,1.62,1.05,0.0,0.0,1.0,0.0,89.45,61.0,61.5,0.59,0.48,0.45,2.81,2.83,2.78,40.29,3.31,3.18,3.34,3.21,36.0,20.0,28.0,84.0,3.0,5.0,0.0,45.0,8.0,3.0,1.39,1.18,0.73,2.0,1.0,0.0,83.37,56.0,56.4,0.54,0.81,0.81,3.03,3.02,2.96,12.04,10.36,281.0,228.0,0.26,0.0,7.0,0.0,6.0,0.0
8479378,2025,Logan Stanley,BUF,D,4on5,8,821.0,18.0,0.85,0.13,0.09,0.14,0.09,0.18,0.13,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,1.0,0.0,17.0,2.0,6.0,1.0,9.0,0.0,0.0,2027.0,0.0,0.0,0.0,1.0,2.23,0.07,0.07,0.07,0.07,2.0,1.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.02,0.0,0.0,0.09,0.09,0.09,10.18,0.45,0.45,0.45,0.45,7.0,7.0,5.0,19.0,0.0,1.0,0.0,11.0,3.0,0.0,0.1,0.35,0.0,0.0,0.0,0.0,19.0,14.0,14.0,0.25,0.02,0.02,0.67,0.67,0.67,0.5,4.78,7.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0
8479378,2025,Logan Stanley,BUF,D,5on4,8,49.0,2.0,0.43,0.0,0.85,0.0,0.86,0.0,0.84,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,875.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84,0.1,0.1,0.1,0.1,1.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.01,0.0,0.0,0.11,0.11,0.11,1.24,0.22,25.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
