team,season,name,team,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
PHI,2025,PHI,PHI,Team Level,other,10,0.51,0.55,0.56,2201.0,24.58,5.18,1.78,5.12,0.94,13.58,8.4,5.15,5.18,5.15,27.0,8.0,10.0,45.0,3.0,1.0,0.0,3.0,0.0,16.0,12.0,24.0,32.0,2.0,4.0,19.0,15.0,2.0,8.0,22.0,9.0,4.0,0.76,1.13,3.29,0.0,1.0,2.0,45.0,35.0,35.0,2.0,0.51,0.01,0.01,5.68,5.68,5.62,19.98,5.04,1.07,3.93,0.65,8.73,7.57,4.67,5.04,4.67,18.0,9.0,10.0,37.0,4.0,1.0,0.0,1.0,0.0,10.0,11.0,14.0,23.0,1.0,2.0,29.0,9.0,1.0,8.0,14.0,5.0,8.0,0.46,0.66,3.92,0.0,1.0,3.0,37.0,27.0,27.0,7.0,0.32,0.18,0.18,5.18,5.18,4.78
PHI,2025,PHI,PHI,Team Level,all,10,0.44,0.42,0.42,38517.0,267.85,26.59,17.57,64.67,9.02,139.13,104.01,25.79,26.51,25.7,246.0,115.0,121.0,482.0,21.0,23.0,0.0,48.0,1.0,127.0,141.0,225.0,340.0,64.0,128.0,307.0,420.0,47.0,162.0,268.0,59.0,34.0,7.58,7.58,11.44,10.0,6.0,5.0,478.51,361.0,359.69,66.0,3.97,5.22,5.28,25.28,25.28,24.82,358.89,33.98,24.07,90.46,12.41,192.21,139.87,32.25,34.32,32.59,295.0,198.0,186.0,679.0,24.0,41.0,2.0,53.0,0.0,196.0,179.0,271.0,469.0,57.0,112.0,298.0,331.0,44.0,156.0,384.0,70.0,39.0,10.82,9.18,13.98,8.0,7.0,9.0,686.44,493.0,498.3,69.0,5.42,5.91,5.91,33.49,33.82,32.81
PHI,2025,PHI,PHI,Team Level,5on5,10,0.44,0.4,0.41,28848.0,191.11,15.92,11.87,49.02,6.42,99.26,74.5,15.46,15.84,15.38,172.0,85.0,85.0,342.0,14.0,19.0,0.0,32.0,1.0,84.0,107.0,158.0,243.0,55.0,110.0,213.0,379.0,35.0,140.0,199.0,36.0,22.0,5.57,4.67,5.69,10.0,3.0,1.0,338.51,257.0,255.69,59.0,2.46,4.11,4.16,14.21,14.21,14.0,270.12,20.55,17.19,71.66,9.41,146.14,107.05,19.83,20.89,20.17,222.0,150.0,142.0,514.0,14.0,31.0,2.0,43.0,0.0,149.0,135.0,208.0,358.0,50.0,98.0,206.0,303.0,36.0,124.0,301.0,53.0,18.0,8.56,6.98,5.01,7.0,5.0,2.0,521.44,372.0,377.3,55.0,3.59,4.68,4.68,19.46,19.8,19.54
PHI,2025,PHI,PHI,Team Level,4on5,10,0.24,0.18,0.2,4110.0,16.33,2.13,0.77,2.47,0.47,4.27,9.89,1.98,2.13,1.98,19.0,1.0,4.0,24.0,1.0,2.0,0.0,3.0,0.0,3.0,11.0,18.0,19.0,3.0,6.0,39.0,9.0,7.0,5.0,12.0,4.0,4.0,0.33,0.56,1.24,0.0,1.0,0.0,24.0,20.0,20.0,5.0,0.18,0.77,0.77,1.55,1.55,1.53,57.21,6.72,5.1,12.95,1.97,33.88,18.38,6.52,6.72,6.52,44.0,35.0,32.0,111.0,5.0,7.0,0.0,9.0,0.0,36.0,22.0,39.0,74.0,3.0,6.0,34.0,7.0,1.0,17.0,60.0,10.0,9.0,1.55,1.32,3.85,1.0,0.0,4.0,111.0,79.0,79.0,0.0,1.34,0.56,0.56,7.5,7.5,7.3
PHI,2025,PHI,PHI,Team Level,5on4,10,0.67,0.81,0.77,3358.0,35.84,3.35,3.15,8.05,1.2,22.01,11.23,3.2,3.35,3.2,28.0,21.0,22.0,71.0,3.0,1.0,0.0,10.0,0.0,24.0,11.0,25.0,46.0,4.0,8.0,36.0,17.0,3.0,9.0,35.0,10.0,4.0,0.92,1.22,1.22,0.0,1.0,2.0,71.0,49.0,49.0,0.0,0.82,0.34,0.34,3.84,3.84,3.67,11.59,1.66,0.71,1.91,0.4,3.45,6.87,1.23,1.66,1.23,11.0,4.0,2.0,17.0,1.0,2.0,0.0,0.0,0.0,1.0,11.0,10.0,14.0,3.0,6.0,29.0,12.0,6.0,7.0,9.0,2.0,4.0,0.25,0.22,1.2,0.0,1.0,0.0,17.0,15.0,15.0,7.0,0.17,0.48,0.48,1.34,1.34,1.19
LAK,2025,LAK,LAK,Team Level,other,4,0.24,0.32,0.31,689.0,3.98,0.85,0.44,0.54,0.13,2.11,0.93,0.84,0.85,0.84,5.0,0.0,3.0,8.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0,3.0,0.0,0.0,3.0,5.0,0.0,1.0,2.0,2.0,1.0,0.09,0.32,0.43,0.0,1.0,1.0,8.0,5.0,5.0,0.0,0.13,0.0,0.0,0.97,0.97,0.96,7.79,2.74,0.37,1.22,0.23,3.38,3.07,2.37,2.74,2.37,6.0,5.0,6.0,17.0,2.0,0.0,0.0,2.0,0.0,4.0,3.0,4.0,9.0,0.0,0.0,10.0,3.0,1.0,3.0,6.0,1.0,4.0,0.27,0.11,2.37,0.0,0.0,2.0,17.0,11.0,11.0,3.0,0.09,0.0,0.0,2.83,2.83,2.45
LAK,2025,LAK,LAK,Team Level,all,4,0.43,0.46,0.45,14864.0,116.74,11.0,8.0,30.75,4.12,60.11,44.02,10.44,10.81,10.25,101.0,57.0,85.0,243.0,5.0,15.0,0.0,26.0,1.0,57.0,54.0,96.0,153.0,15.0,30.0,126.0,154.0,16.0,52.0,117.0,25.0,16.0,2.7,3.32,4.98,1.0,2.0,2.0,237.48,158.0,154.52,27.0,1.86,2.43,2.47,10.39,10.19,9.82,142.29,14.31,9.07,35.8,4.71,74.91,57.2,13.57,14.47,13.72,123.0,73.0,87.0,283.0,13.0,12.0,3.0,24.0,1.0,86.0,60.0,110.0,183.0,20.0,38.0,128.0,109.0,19.0,61.0,151.0,30.0,15.0,4.54,3.64,6.13,5.0,2.0,6.0,292.45,196.0,201.7,34.0,1.97,2.9,2.9,13.38,13.54,12.97
LAK,2025,LAK,LAK,Team Level,5on5,4,0.44,0.45,0.43,11858.0,90.59,6.94,5.59,24.64,3.21,46.65,35.97,6.67,6.75,6.48,74.0,49.0,72.0,195.0,2.0,12.0,0.0,21.0,1.0,44.0,43.0,72.0,121.0,15.0,30.0,100.0,143.0,10.0,45.0,96.0,17.0,10.0,2.18,2.19,2.57,1.0,1.0,0.0,189.47,123.0,119.52,25.0,1.18,2.08,2.12,5.99,5.79,5.73,115.5,8.75,7.37,31.25,3.85,62.66,46.12,8.5,8.91,8.65,97.0,63.0,74.0,234.0,9.0,10.0,3.0,21.0,1.0,73.0,46.0,88.0,151.0,15.0,30.0,100.0,101.0,13.0,53.0,131.0,21.0,8.0,3.78,2.62,2.35,4.0,2.0,3.0,243.45,160.0,165.7,27.0,1.54,2.54,2.54,7.75,7.92,7.8
LAK,2025,LAK,LAK,Team Level,4on5,4,0.09,0.14,0.19,940.0,2.69,0.26,0.17,0.66,0.13,1.07,1.72,0.26,0.26,0.26,3.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,4.0,0.0,0.0,5.0,4.0,3.0,2.0,3.0,1.0,0.0,0.06,0.2,0.0,0.0,0.0,0.0,4.0,4.0,4.0,2.0,0.04,0.0,0.0,0.3,0.3,0.3,13.1,2.56,1.13,2.32,0.45,7.06,3.47,2.48,2.56,2.48,14.0,3.0,7.0,24.0,1.0,2.0,0.0,1.0,0.0,7.0,6.0,13.0,16.0,5.0,8.0,12.0,2.0,0.0,1.0,6.0,8.0,3.0,0.23,0.91,1.41,0.0,0.0,1.0,24.0,17.0,17.0,0.0,0.29,0.36,0.36,2.49,2.49,2.45
LAK,2025,LAK,LAK,Team Level,5on4,4,0.92,0.82,0.76,1377.0,19.48,2.96,1.8,4.91,0.66,10.28,5.39,2.67,2.96,2.67,19.0,7.0,10.0,36.0,1.0,3.0,0.0,4.0,0.0,9.0,9.0,18.0,25.0,0.0,0.0,18.0,2.0,3.0,4.0,16.0,5.0,5.0,0.37,0.61,1.98,0.0,0.0,1.0,36.0,26.0,26.0,0.0,0.51,0.35,0.35,3.13,3.13,2.83,5.9,0.26,0.2,1.0,0.18,1.82,4.54,0.22,0.26,0.22,6.0,2.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,2.0,5.0,5.0,7.0,0.0,0.0,6.0,3.0,5.0,4.0,8.0,0.0,0.0,0.26,0.0,0.0,1.0,0.0,0.0,8.0,8.0,8.0,4.0,0.04,0.0,0.0,0.31,0.31,0.27
